area_code,inventory,market_size,market,number_of_records,product_line,product_type,product,state,type,order_date_mdy,order_date_dmy,budget_cogs,budget_margin,budget_profit,budget_sales,cogs,margin,marketing,profit,sales,total_expenses,row_id,order_month
970,821,Major Market,Central,1,Beans,Coffee,Decaf Irish Cream,Colorado,Decaf,2017-11-08,2017-11-08,100.00,140.00,110.00,240.00,95.00,139.00,26.00,101.00,234.00,38.00,1,2017-11-01
309,608,Major Market,Central,1,Beans,Coffee,Decaf Irish Cream,Illinois,Decaf,2017-11-08,2017-11-08,100.00,140.00,100.00,240.00,95.00,139.00,30.00,87.00,234.00,52.00,2,2017-11-01
860,494,Small Market,East,1,Leaves,Herbal Tea,Lemon,Connecticut,Decaf,2017-10-13,2017-10-13,60.00,80.00,40.00,140.00,85.00,105.00,32.00,40.00,190.00,65.00,3,2017-10-01
614,435,Major Market,Central,1,Beans,Coffee,Decaf Irish Cream,Ohio,Decaf,2017-06-12,2017-06-12,60.00,90.00,20.00,150.00,63.00,87.00,57.00,0.00,150.00,87.00,4,2017-06-01
603,197,Small Market,East,1,Leaves,Herbal Tea,Lemon,New Hampshire,Decaf,2017-10-13,2017-10-13,20.00,30.00,0.00,50.00,34.00,42.00,12.00,-4.00,76.00,46.00,5,2017-10-01
720,558,Major Market,Central,1,Beans,Espresso,Decaf Espresso,Colorado,Decaf,2016-10-11,2016-10-11,80.00,130.00,80.00,210.00,72.00,108.00,23.00,53.00,180.00,55.00,6,2016-10-01
630,1459,Major Market,Central,1,Beans,Espresso,Decaf Espresso,Illinois,Decaf,2016-10-11,2016-10-11,260.00,270.00,180.00,530.00,228.00,228.00,63.00,140.00,456.00,88.00,7,2016-10-01
475,965,Small Market,East,1,Leaves,Herbal Tea,Mint,Connecticut,Decaf,2017-10-13,2017-10-13,50.00,80.00,50.00,130.00,78.00,92.00,24.00,47.00,170.00,45.00,8,2017-10-01
214,329,Major Market,South,1,Leaves,Herbal Tea,Chamomile,Texas,Decaf,2016-08-09,2016-08-09,50.00,80.00,50.00,130.00,60.00,80.00,19.00,33.00,140.00,47.00,9,2016-08-01
614,338,Major Market,Central,1,Beans,Espresso,Decaf Espresso,Ohio,Decaf,2015-06-09,2015-06-09,60.00,90.00,40.00,150.00,58.00,72.00,22.00,16.00,130.00,56.00,10,2015-06-01
339,338,Major Market,East,1,Leaves,Herbal Tea,Lemon,Massachusetts,Decaf,2017-03-11,2017-03-11,40.00,60.00,30.00,100.00,58.00,72.00,22.00,17.00,130.00,55.00,11,2017-03-01
337,623,Small Market,South,1,Leaves,Herbal Tea,Chamomile,Louisiana,Decaf,2017-10-13,2017-10-13,40.00,60.00,40.00,100.00,49.00,63.00,16.00,35.00,112.00,28.00,12,2017-10-01
754,500,Major Market,East,1,Beans,Coffee,Decaf Irish Cream,Florida,Decaf,2015-06-09,2015-06-09,80.00,110.00,70.00,190.00,84.00,116.00,26.00,67.00,200.00,49.00,13,2015-06-01
432,357,Major Market,South,1,Leaves,Herbal Tea,Lemon,Texas,Decaf,2016-08-09,2016-08-09,40.00,80.00,50.00,120.00,52.00,76.00,16.00,38.00,128.00,38.00,14,2016-08-01
754,432,Major Market,East,1,Beans,Espresso,Decaf Espresso,Florida,Decaf,2015-06-09,2015-06-09,70.00,100.00,60.00,170.00,77.00,103.00,25.00,50.00,180.00,53.00,15,2015-06-01
607,1419,Major Market,East,1,Leaves,Herbal Tea,Lemon,New York,Decaf,2015-10-20,2015-10-20,180.00,190.00,100.00,370.00,245.00,238.00,93.00,111.00,483.00,127.00,16,2015-10-01
325,623,Major Market,South,1,Beans,Coffee,Decaf Irish Cream,Texas,Decaf,2015-06-09,2015-06-09,100.00,130.00,100.00,230.00,83.00,107.00,27.00,68.00,190.00,39.00,17,2015-06-01
949,809,Major Market,West,1,Leaves,Herbal Tea,Chamomile,California,Decaf,2016-02-28,2016-02-28,80.00,120.00,100.00,200.00,95.00,137.00,26.00,100.00,232.00,37.00,18,2016-02-01
505,821,Small Market,South,1,Leaves,Herbal Tea,Chamomile,New Mexico,Decaf,2017-10-13,2017-10-13,10.00,30.00,20.00,40.00,18.00,27.00,5.00,11.00,45.00,16.00,19,2017-10-01
956,456,Major Market,South,1,Beans,Espresso,Decaf Espresso,Texas,Decaf,2015-06-09,2015-06-09,40.00,70.00,60.00,110.00,54.00,80.00,15.00,54.00,134.00,26.00,20,2015-06-01
714,942,Major Market,West,1,Leaves,Herbal Tea,Lemon,California,Decaf,2016-02-28,2016-02-28,180.00,220.00,160.00,400.00,213.00,252.00,66.00,164.00,465.00,88.00,21,2016-02-01
772,965,Major Market,East,1,Leaves,Herbal Tea,Mint,Florida,Decaf,2017-06-20,2017-06-20,50.00,60.00,40.00,110.00,69.00,81.00,21.00,39.00,150.00,42.00,22,2017-06-01
918,312,Small Market,South,1,Leaves,Herbal Tea,Chamomile,Oklahoma,Decaf,2017-09-05,2017-09-05,50.00,60.00,20.00,110.00,54.00,66.00,20.00,13.00,120.00,53.00,23,2017-09-01
650,862,Major Market,West,1,Beans,Coffee,Decaf Irish Cream,California,Decaf,2015-06-09,2015-06-09,180.00,-40.00,-120.00,140.00,144.00,-26.00,47.00,-117.00,118.00,91.00,24,2015-06-01
