order_month,product_line,product_type,product,market,state,market_size,type,sales,cogs,total_expenses,profit,marketing,budget_sales,budget_cogs,budget_profit
2017-11-01,Beans,Coffee,Decaf Irish Cream,Central,Colorado,Major Market,Decaf,234.00,95.00,38.00,101.00,26.00,240.00,100.00,110.00
2017-11-01,Beans,Coffee,Decaf Irish Cream,Central,Illinois,Major Market,Decaf,512.00,208.00,111.00,193.00,66.00,510.00,210.00,210.00
2017-10-01,Leaves,Herbal Tea,Lemon,East,Connecticut,Small Market,Decaf,190.00,85.00,65.00,40.00,32.00,140.00,60.00,40.00
2017-06-01,Beans,Coffee,Decaf Irish Cream,Central,Ohio,Major Market,Decaf,150.00,63.00,87.00,0.00,57.00,150.00,60.00,20.00
2017-10-01,Leaves,Herbal Tea,Lemon,East,New Hampshire,Small Market,Decaf,76.00,34.00,46.00,-4.00,12.00,50.00,20.00,0.00
2016-10-01,Beans,Espresso,Decaf Espresso,Central,Colorado,Major Market,Decaf,381.00,144.00,113.00,136.00,46.00,420.00,160.00,160.00
2016-10-01,Beans,Espresso,Decaf Espresso,Central,Illinois,Major Market,Decaf,966.00,456.00,180.00,358.00,126.00,1060.00,520.00,360.00
2017-10-01,Leaves,Herbal Tea,Mint,East,Connecticut,Small Market,Decaf,170.00,78.00,45.00,47.00,24.00,130.00,50.00,50.00
2016-08-01,Leaves,Herbal Tea,Chamomile,South,Texas,Major Market,Decaf,140.00,60.00,47.00,33.00,19.00,130.00,50.00,50.00
2015-06-01,Beans,Espresso,Decaf Espresso,Central,Ohio,Major Market,Decaf,130.00,58.00,56.00,16.00,22.00,150.00,60.00,40.00
2017-03-01,Leaves,Herbal Tea,Lemon,East,Massachusetts,Major Market,Decaf,373.00,162.00,161.00,50.00,61.00,270.00,110.00,70.00
2017-10-01,Leaves,Herbal Tea,Chamomile,South,Louisiana,Small Market,Decaf,112.00,49.00,28.00,35.00,16.00,100.00,40.00,40.00
2015-06-01,Beans,Coffee,Decaf Irish Cream,East,Florida,Major Market,Decaf,200.00,84.00,49.00,67.00,26.00,190.00,80.00,70.00
2016-08-01,Leaves,Herbal Tea,Lemon,South,Texas,Major Market,Decaf,128.00,52.00,38.00,38.00,16.00,120.00,40.00,50.00
2015-06-01,Beans,Espresso,Decaf Espresso,East,Florida,Major Market,Decaf,180.00,77.00,53.00,50.00,25.00,170.00,70.00,60.00
2015-10-01,Leaves,Herbal Tea,Lemon,East,New York,Major Market,Decaf,483.00,245.00,127.00,111.00,93.00,370.00,180.00,100.00
2015-06-01,Beans,Coffee,Decaf Irish Cream,South,Texas,Major Market,Decaf,190.00,83.00,39.00,68.00,27.00,230.00,100.00,100.00
2016-02-01,Leaves,Herbal Tea,Chamomile,West,California,Major Market,Decaf,232.00,95.00,37.00,100.00,26.00,200.00,80.00,100.00
2017-10-01,Leaves,Herbal Tea,Chamomile,South,New Mexico,Small Market,Decaf,45.00,18.00,16.00,11.00,5.00,40.00,10.00,20.00
2015-06-01,Beans,Espresso,Decaf Espresso,South,Texas,Major Market,Decaf,134.00,54.00,26.00,54.00,15.00,110.00,40.00,60.00
2016-02-01,Leaves,Herbal Tea,Lemon,West,California,Major Market,Decaf,465.00,213.00,88.00,164.00,66.00,400.00,180.00,160.00
2017-06-01,Leaves,Herbal Tea,Mint,East,Florida,Major Market,Decaf,150.00,69.00,42.00,39.00,21.00,110.00,50.00,40.00
2017-09-01,Leaves,Herbal Tea,Chamomile,South,Oklahoma,Small Market,Decaf,120.00,54.00,53.00,13.00,20.00,110.00,50.00,20.00
2015-06-01,Beans,Coffee,Decaf Irish Cream,West,California,Major Market,Decaf,281.00,339.00,201.00,-259.00,111.00,340.00,420.00,-260.00
2015-09-01,Leaves,Herbal Tea,Mint,West,California,Major Market,Decaf,190.00,83.00,39.00,68.00,27.00,160.00,70.00,60.00
2018-09-01,Leaves,Herbal Tea,Lemon,South,Louisiana,Small Market,Decaf,190.00,85.00,65.00,40.00,32.00,180.00,80.00,40.00
2017-06-01,Leaves,Herbal Tea,Mint,East,New York,Major Market,Decaf,378.00,451.00,183.00,-256.00,139.00,290.00,330.00,-170.00
2015-06-01,Beans,Espresso,Decaf Espresso,West,California,Major Market,Decaf,1158.00,497.00,228.00,433.00,163.00,1100.00,470.00,420.00
2018-09-01,Leaves,Herbal Tea,Lemon,South,New Mexico,Small Market,Decaf,62.00,28.00,30.00,4.00,8.00,60.00,20.00,20.00
2018-04-01,Leaves,Tea,Darjeeling,Central,Colorado,Major Market,Regular,235.00,105.00,106.00,24.00,39.00,190.00,80.00,20.00
2016-04-01,Leaves,Herbal Tea,Chamomile,South,Texas,Major Market,Decaf,283.00,117.00,93.00,79.00,37.00,260.00,100.00,100.00
2018-04-01,Beans,Coffee,Amaretto,Central,Colorado,Major Market,Regular,219.00,89.00,36.00,94.00,24.00,220.00,90.00,100.00
2018-09-01,Leaves,Herbal Tea,Lemon,South,Oklahoma,Small Market,Decaf,403.00,158.00,207.00,26.00,144.00,360.00,140.00,60.00
2016-04-01,Leaves,Herbal Tea,Lemon,South,Texas,Major Market,Decaf,269.00,106.00,78.00,94.00,33.00,240.00,90.00,90.00
2017-12-01,Beans,Coffee,Amaretto,Central,Ohio,Major Market,Regular,263.00,112.00,90.00,61.00,36.00,260.00,110.00,90.00
2016-04-01,Leaves,Herbal Tea,Chamomile,West,California,Major Market,Decaf,234.00,95.00,37.00,102.00,26.00,200.00,80.00,100.00
